current_date,inside,weapon,post,lat,lon,dist_center,day_period,crime_type,neighborhood_lat,neighborhood_lon,district_lat,district_lon,common_dist
2011-06-13 15:15:00,0,4,111.0,39.29285,-76.62124,1.696727483405944,6,11,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,0.0
2011-02-12 10:30:00,1,0,533.0,39.35884,-76.67771,7.822660422646432,4,15,39.36198878378378,-76.66486081081081,39.33824599049766,-76.6227167386246,1.0
2011-05-22 23:00:00,1,0,714.0,39.29151,-76.64888,3.369390620100111,8,1,39.29071160377358,-76.65295811320755,39.30325811828833,-76.6475476693083,1.0
2016-11-06 22:30:00,1,0,843.0,39.29194,-76.67267,5.206413770124667,8,1,39.29282461538462,-76.67384384615384,39.290191818719975,-76.67458630780087,1.0
2016-10-25 10:45:00,1,0,841.0,39.28401,-76.6519,4.070330799231563,4,15,39.28307199233717,-76.64853019157088,39.290191818719975,-76.67458630780087,1.0
2014-07-27 03:45:00,1,0,714.0,39.29118,-76.65083,3.531858736593226,2,15,39.29071160377358,-76.65295811320755,39.30325811828833,-76.6475476693083,1.0
2014-05-07 17:40:00,0,1,323.0,39.2991,-76.57655,3.487959169480129,6,21,39.30009373913044,-76.57797330434782,39.30589038784177,-76.5943316483982,1.0
2015-11-01 23:49:00,1,1,844.0,39.30283,-76.6865,6.123249848592993,8,32,39.31645140495869,-76.68323966942148,39.290191818719975,-76.67458630780087,1.0
2014-05-31 18:00:00,1,0,523.0,39.36096,-76.61444,5.950510009309637,7,15,39.35792955357143,-76.61557767857143,39.33824599049766,-76.6227167386246,1.0
2013-05-17 17:00:00,1,0,742.0,39.30925,-76.64166,2.2509535893091552,6,1,39.303994987531176,-76.64276381546135,39.30325811828833,-76.6475476693083,1.0
2011-03-13 15:30:00,1,0,111.0,39.29312,-76.61125,1.63938437754278,6,1,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,1.0
2013-09-25 00:10:00,0,2,342.0,39.31589,-76.5964,1.8998031670435176,1,32,39.32381198312236,-76.60209447257384,39.30589038784177,-76.5943316483982,1.0
2011-12-14 17:00:00,1,1,133.0,39.31509,-76.63845,2.1408612720214406,6,21,39.31371897540983,-76.63382950819675,39.29873684383431,-76.620764340225,1.0
2011-09-22 00:38:00,0,4,843.0,39.28165,-76.6885,6.900484723270534,1,11,39.28240978947368,-76.68435731578948,39.290191818719975,-76.67458630780087,0.0
2015-06-05 22:50:00,0,4,122.0,39.29059,-76.62979,2.2393777451189285,8,11,39.291015986842105,-76.63242460526314,39.30325811828833,-76.6475476693083,0.0
2015-09-12 23:30:00,1,0,423.0,39.35984,-76.56053,7.508816171045569,8,15,39.36313693009118,-76.56598340425532,39.33762689962533,-76.5666633515134,1.0
2014-12-29 18:45:00,1,0,612.0,39.33295,-76.65569,4.464173420754812,7,3,39.32991009523809,-76.65904838095238,39.340550095447526,-76.68238401277931,1.0
2013-12-22 15:00:00,1,0,221.0,39.29477,-76.57639,3.658940375979875,6,15,39.2965552559727,-76.58009726962457,39.28954494317715,-76.57517554868063,1.0
2014-08-26 00:10:00,0,0,111.0,39.28956,-76.61495,1.992697506651631,1,1,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,1.0
